# ip url matched_ip matched_bits
107.23.124.193 escalatenetwork.net 107.23.124.116 24
107.23.141.130 couchsurfing.org 107.23.141.85 24
107.23.142.204 comicvine.com 107.23.142.87 24
107.23.149.49 trello.com 107.23.149.95 25
107.23.149.55 trello.com 107.23.149.95 25
107.23.149.83 trello.com 107.23.149.95 28
107.23.16.6 wealthyaffiliate.com 107.23.16.45 26
107.23.174.150 slate.com 107.23.161.67 20
107.23.182.186 livefyre.com 107.23.161.67 19
107.23.184.229 terapeak.com 107.23.161.67 19
107.23.185.79 lonelyplanet.com 107.23.161.67 19
107.23.198.120 alhea.com 107.23.161.67 17
107.23.199.237 logitech.com 107.23.161.67 17
107.23.201.100 vertitechnologygroup.com 107.23.161.67 17
107.23.219.119 livefyre.com 107.23.161.67 17
107.23.219.75 livefyre.com 107.23.161.67 17
107.23.222.212 go2cloud.org 107.23.161.67 17
107.23.231.148 dpreview.com 107.23.161.67 17
107.23.27.126 youpix.com.br 107.23.26.188 23
107.23.29.176 smartrecruiters.com 107.23.29.200 25
107.23.32.244 peixeurbano.com.br 107.23.32.156 25
107.23.37.111 mitbbs.com 107.23.37.111 31
107.23.42.179 gamespot.com 107.23.42.228 25
107.23.57.221 slate.com 107.23.57.191 25
107.23.58.78 mojo-themes.com 107.23.58.116 26
107.23.69.252 guru.com 107.23.69.194 26
107.23.72.46 getresultsthatstick.com 107.23.72.50 27
107.23.8.172 thestreet.com 107.23.8.173 31
107.23.82.170 webcrawler.com 107.23.82.141 26
107.23.83.106 giantbomb.com 107.23.82.141 23
107.23.86.177 beyondtherack.com 107.23.86.178 30
107.23.89.155 thestreet.com 107.23.89.149 28
107.23.89.71 thestreet.com 107.23.89.32 25
107.23.91.192 thestreet.com 107.23.91.160 25
107.23.93.37 slate.com 107.23.93.29 26
107.23.9.44 hasoffers.com 107.23.8.173 23
107.23.99.227 smugmug.com 107.23.96.253 22
107.6.104.124 didigames.com 107.6.104.98 27
107.6.106.82 xkcd.com 107.6.106.108 26
107.6.108.13 omegle.com 107.6.108.10 29
107.6.108.14 omegle.com 107.6.108.10 29
107.6.108.4 omegle.com 107.6.108.8 28
107.6.108.5 omegle.com 107.6.108.8 28
107.6.108.6 omegle.com 107.6.108.8 28
107.6.108.7 omegle.com 107.6.108.8 28
107.6.110.219 omegle.com 107.6.110.218 31
107.6.110.220 omegle.com 107.6.110.218 29
107.6.110.250 perezhilton.com 107.6.110.228 27
107.6.110.251 perezhilton.com 107.6.110.228 27
107.6.110.252 perezhilton.com 107.6.110.228 27
107.6.110.74 omegle.com 107.6.110.218 24
107.6.114.226 shabdkosh.com 107.6.114.215 26
107.6.116.59 thaifriendly.com 107.6.116.99 25
107.6.118.52 inquirer.net 107.6.118.74 25
107.6.85.40 di.fm 107.6.85.57 27
107.6.85.41 sky.fm 107.6.85.57 27
107.6.86.170 fixya.com 107.6.86.188 27
107.6.94.34 nationalreview.com 107.6.94.2 26
108.160.165.62 dropbox.com 108.160.161.168 21
108.160.166.62 dropbox.com 108.160.161.168 21
108.162.192.153 sabayacafe.com 108.162.192.145 28
108.162.192.174 scriptmafia.org 108.162.192.145 26
108.162.193.153 sabayacafe.com 108.162.193.157 29
108.162.193.174 scriptmafia.org 108.162.193.160 28
108.162.194.148 wrzko.eu 108.162.194.133 27
108.162.195.148 wrzko.eu 108.162.195.147 29
108.162.196.116 gratisjuegos.org 108.162.196.124 28
108.162.196.12 megashare.info 108.162.196.11 29
108.162.196.158 open24news.tv 108.162.196.163 26
108.162.196.161 divxonline.ro 108.162.196.163 30
108.162.196.191 sitetalk.com 108.162.196.183 28
108.162.196.196 gobookee.net 108.162.196.195 29
108.162.196.200 informationng.com 108.162.196.195 28
108.162.196.202 funlolx.com 108.162.196.195 28
108.162.196.206 script.pm 108.162.196.195 28
108.162.196.230 btalah.com 108.162.196.229 30
108.162.196.231 laughnfiddle.com 108.162.196.229 30
108.162.196.240 qaynar.info 108.162.196.233 27
108.162.196.251 ividi.org 108.162.196.233 27
108.162.196.26 gtaforums.com 108.162.196.23 28
108.162.196.29 baiscopelk.com 108.162.196.23 28
108.162.196.41 dashnet.org 108.162.196.37 28
108.162.196.49 aporrea.org 108.162.196.37 27
108.162.196.56 epidemz.net 108.162.196.37 27
108.162.197.116 gratisjuegos.org 108.162.197.109 27
108.162.197.12 megashare.info 108.162.197.5 28
108.162.197.158 open24news.tv 108.162.197.150 28
108.162.197.161 divxonline.ro 108.162.197.165 29
108.162.197.191 sitetalk.com 108.162.197.184 29
108.162.197.196 gobookee.net 108.162.197.209 27
108.162.197.200 informationng.com 108.162.197.209 27
108.162.197.202 funlolx.com 108.162.197.209 27
108.162.197.206 script.pm 108.162.197.209 27
108.162.197.230 btalah.com 108.162.197.231 31
108.162.197.231 laughnfiddle.com 108.162.197.231 31
108.162.197.240 qaynar.info 108.162.197.242 30
108.162.197.251 ividi.org 108.162.197.242 28
108.162.197.26 gtaforums.com 108.162.197.5 27
108.162.197.29 baiscopelk.com 108.162.197.5 27
108.162.197.41 dashnet.org 108.162.197.43 30
108.162.197.49 aporrea.org 108.162.197.56 28
108.162.197.56 epidemz.net 108.162.197.56 31
108.162.198.118 behindwoods.com 108.162.198.90 26
108.162.198.123 seenive.com 108.162.198.90 26
108.162.198.13 socialmediabar.com 108.162.198.24 27
108.162.198.130 toplugs.com 108.162.198.138 28
108.162.198.132 elshaab.org 108.162.198.138 28
108.162.198.14 uyirvani.com 108.162.198.24 27
108.162.198.147 funnylol247.com 108.162.198.138 27
108.162.198.151 adfoc.us 108.162.198.138 27
108.162.198.153 filenuke.com 108.162.198.138 27
108.162.198.157 premiumwp.com 108.162.198.138 27
108.162.198.158 hizliresim.com 108.162.198.138 27
108.162.198.160 wsodownloads.info 108.162.198.167 29
108.162.198.162 lolinez.com 108.162.198.167 29
108.162.198.183 videomega.tv 108.162.198.167 27
108.162.198.186 memedad.com 108.162.198.167 27
108.162.198.190 alweeam.com.sa 108.162.198.167 27
108.162.198.191 icefilms.info 108.162.198.167 27
108.162.198.203 lankacnews.com 108.162.198.192 28
108.162.198.215 smb01.com 108.162.198.219 28
108.162.198.221 compucalitv.com 108.162.198.219 29
108.162.198.222 gratispeliculas.org 108.162.198.219 29
108.162.198.237 subtlepatterns.com 108.162.198.231 28
108.162.198.24 dreamamateurs.com 108.162.198.24 31
108.162.198.249 lolnexus.com 108.162.198.231 27
108.162.198.29 limetorrents.com 108.162.198.29 31
108.162.198.34 sucksex.com 108.162.198.34 31
108.162.198.39 skidrowgames.net 108.162.198.34 29
108.162.198.47 suzukikenichi.com 108.162.198.46 31
108.162.198.51 epicdpic.com 108.162.198.48 30
108.162.198.53 petapixel.com 108.162.198.53 31
108.162.198.55 identi.li 108.162.198.53 30
108.162.198.56 lebuteur.com 108.162.198.61 29
108.162.198.58 nullrefer.com 108.162.198.61 29
108.162.198.77 divxplanet.com 108.162.198.86 27
108.162.198.78 fanswong.com 108.162.198.86 27
108.162.199.118 behindwoods.com 108.162.199.108 27
108.162.199.123 seenive.com 108.162.199.108 27
108.162.199.13 socialmediabar.com 108.162.199.37 26
108.162.199.130 toplugs.com 108.162.199.134 29
108.162.199.132 elshaab.org 108.162.199.134 30
108.162.199.14 uyirvani.com 108.162.199.37 26
108.162.199.147 funnylol247.com 108.162.199.154 28
108.162.199.151 adfoc.us 108.162.199.154 28
108.162.199.153 filenuke.com 108.162.199.154 30
108.162.199.157 premiumwp.com 108.162.199.154 29
108.162.199.158 hizliresim.com 108.162.199.154 29
108.162.199.160 wsodownloads.info 108.162.199.166 29
108.162.199.162 lolinez.com 108.162.199.166 29
108.162.199.183 videomega.tv 108.162.199.177 29
108.162.199.186 memedad.com 108.162.199.177 28
108.162.199.190 alweeam.com.sa 108.162.199.177 28
108.162.199.191 icefilms.info 108.162.199.177 28
108.162.199.203 lankacnews.com 108.162.199.212 27
108.162.199.215 smb01.com 108.162.199.212 30
108.162.199.221 compucalitv.com 108.162.199.212 28
108.162.199.222 gratispeliculas.org 108.162.199.212 28
108.162.199.237 subtlepatterns.com 108.162.199.228 28
108.162.199.24 dreamamateurs.com 108.162.199.37 26
108.162.199.249 lolnexus.com 108.162.199.248 31
108.162.199.29 limetorrents.com 108.162.199.37 26
108.162.199.34 sucksex.com 108.162.199.37 29
108.162.199.39 skidrowgames.net 108.162.199.37 30
108.162.199.47 suzukikenichi.com 108.162.199.37 28
108.162.199.51 epicdpic.com 108.162.199.51 31
108.162.199.53 petapixel.com 108.162.199.53 31
108.162.199.55 identi.li 108.162.199.53 30
108.162.199.56 lebuteur.com 108.162.199.53 28
108.162.199.58 nullrefer.com 108.162.199.53 28
108.162.199.77 divxplanet.com 108.162.199.103 26
108.162.199.78 fanswong.com 108.162.199.103 26
108.162.200.100 q.gs 108.162.200.96 29
108.162.200.124 ads-id.com 108.162.200.106 27
108.162.200.153 sa.ae 108.162.200.171 26
108.162.200.178 banoosh.com 108.162.200.181 29
108.162.200.192 iconarchive.com 108.162.200.195 30
108.162.200.205 gfxtra.com 108.162.200.202 29
108.162.200.235 freelanceswitch.com 108.162.200.240 27
108.162.200.24 laughingsquid.com 108.162.200.26 30
108.162.200.25 thingiverse.com 108.162.200.26 30
108.162.200.72 legiaodosherois.com.br 108.162.200.78 29
108.162.200.77 charlesayoub.com 108.162.200.78 30
108.162.200.80 joomla.fr 108.162.200.92 28
108.162.200.91 whatculture.com 108.162.200.92 29
108.162.200.98 torlock.com 108.162.200.96 30
108.162.201.10 broadwayworld.com 108.162.201.10 31
108.162.201.102 twentytwowords.com 108.162.201.112 27
108.162.201.122 mawaly.com 108.162.201.112 28
108.162.201.165 explosm.net 108.162.201.167 30
108.162.201.173 e-monsite.com 108.162.201.167 28
108.162.201.177 morguefile.com 108.162.201.183 29
108.162.201.204 tielabs.com 108.162.201.205 31
108.162.201.206 globalresearch.ca 108.162.201.205 30
108.162.201.214 openclassrooms.com 108.162.201.215 31
108.162.201.217 looti.net 108.162.201.215 28
108.162.201.230 biggerpockets.com 108.162.201.233 28
108.162.201.233 thehackernews.com 108.162.201.233 31
108.162.201.241 dawn.com 108.162.201.242 30
108.162.201.248 maannews.net 108.162.201.248 31
108.162.201.29 lostrolls.com 108.162.201.10 27
108.162.201.33 naosalvo.com.br 108.162.201.35 30
108.162.201.40 10minutemail.com 108.162.201.39 28
108.162.201.43 forgifs.com 108.162.201.39 28
108.162.201.71 hir.ma 108.162.201.69 30
108.162.201.80 portalnet.cl 108.162.201.69 27
108.162.201.86 sayidaty.net 108.162.201.69 27
108.162.201.89 hitleap.com 108.162.201.69 27
108.162.201.98 proprofs.com 108.162.201.112 27
108.162.202.10 broadwayworld.com 108.162.202.11 31
108.162.202.102 twentytwowords.com 108.162.202.99 29
108.162.202.122 mawaly.com 108.162.202.120 30
108.162.202.165 explosm.net 108.162.202.152 26
108.162.202.173 e-monsite.com 108.162.202.152 26
108.162.202.177 morguefile.com 108.162.202.152 26
108.162.202.204 tielabs.com 108.162.202.202 29
108.162.202.206 globalresearch.ca 108.162.202.202 29
108.162.202.214 openclassrooms.com 108.162.202.214 31
108.162.202.217 looti.net 108.162.202.214 28
108.162.202.230 biggerpockets.com 108.162.202.236 28
108.162.202.233 thehackernews.com 108.162.202.236 29
108.162.202.241 dawn.com 108.162.202.251 28
108.162.202.248 maannews.net 108.162.202.251 30
108.162.202.29 lostrolls.com 108.162.202.15 27
108.162.202.33 naosalvo.com.br 108.162.202.34 30
108.162.202.40 10minutemail.com 108.162.202.34 28
108.162.202.43 forgifs.com 108.162.202.34 28
108.162.202.71 hir.ma 108.162.202.71 31
108.162.202.80 portalnet.cl 108.162.202.71 27
108.162.202.86 sayidaty.net 108.162.202.71 27
108.162.202.89 hitleap.com 108.162.202.71 27
108.162.202.98 proprofs.com 108.162.202.99 31
108.162.203.10 trueactivist.com 108.162.203.15 29
108.162.203.119 ezilon.com 108.162.203.120 28
108.162.203.138 animeflv.net 108.162.203.156 27
108.162.203.155 free-tv-video-online.me 108.162.203.156 29
108.162.203.164 dumpaday.com 108.162.203.169 28
108.162.203.179 wpmu.org 108.162.203.186 28
108.162.203.184 tuvaro.com 108.162.203.186 30
108.162.203.187 ocioso.com.br 108.162.203.186 31
108.162.203.198 pornbb.org 108.162.203.198 31
108.162.203.199 avval.ir 108.162.203.198 31
108.162.203.240 the-bux.net 108.162.203.244 29
108.162.203.243 makeupandbeauty.com 108.162.203.244 29
108.162.203.250 serviporno.com 108.162.203.244 28
108.162.203.52 mg.co.za 108.162.203.55 30
108.162.203.95 life.com.tw 108.162.203.120 26
108.162.204.10 trueactivist.com 108.162.204.5 28
108.162.204.119 ezilon.com 108.162.204.116 30
108.162.204.138 animeflv.net 108.162.204.137 30
108.162.204.155 free-tv-video-online.me 108.162.204.150 28
108.162.204.164 dumpaday.com 108.162.204.150 26
108.162.204.179 wpmu.org 108.162.204.150 26
108.162.204.184 tuvaro.com 108.162.204.150 26
108.162.204.187 ocioso.com.br 108.162.204.150 26
108.162.204.198 pornbb.org 108.162.204.196 30
108.162.204.199 avval.ir 108.162.204.196 30
108.162.204.240 the-bux.net 108.162.204.230 27
108.162.204.243 makeupandbeauty.com 108.162.204.230 27
108.162.204.250 serviporno.com 108.162.204.230 27
108.162.204.52 mg.co.za 108.162.204.51 29
108.162.204.95 life.com.tw 108.162.204.73 27
108.162.205.127 collective-evolution.com 108.162.205.125 30
108.162.205.128 forumophilia.com 108.162.205.146 27
108.162.205.151 cyanogenmod.org 108.162.205.146 29
108.162.205.156 spi0n.com 108.162.205.155 29
108.162.205.224 lapatilla.com 108.162.205.243 27
108.162.205.245 megafilmeshd.net 108.162.205.243 29
108.162.205.250 sm3na.com 108.162.205.254 29
108.162.205.46 heavy-r.com 108.162.205.45 30
108.162.205.49 jkanime.net 108.162.205.45 27
108.162.205.83 snapwidget.com 108.162.205.73 27
108.162.205.89 vcommission.com 108.162.205.73 27
108.162.206.127 collective-evolution.com 108.162.206.106 27
108.162.206.128 forumophilia.com 108.162.206.183 26
108.162.206.151 cyanogenmod.org 108.162.206.183 26
108.162.206.156 spi0n.com 108.162.206.183 26
108.162.206.224 lapatilla.com 108.162.206.231 29
108.162.206.245 megafilmeshd.net 108.162.206.242 29
108.162.206.250 sm3na.com 108.162.206.249 30
108.162.206.46 heavy-r.com 108.162.206.36 28
108.162.206.49 jkanime.net 108.162.206.53 29
108.162.206.83 snapwidget.com 108.162.206.80 30
108.162.206.89 vcommission.com 108.162.206.84 28
108.162.207.124 myitworks.com 108.162.207.125 31
108.162.207.174 namepros.com 108.162.207.146 26
108.162.207.178 uppit.com 108.162.207.146 26
108.162.207.182 puu.sh 108.162.207.146 26
108.162.207.183 sergey-mavrodi-mmm.net 108.162.207.146 26
108.162.207.187 intercambiosvirtuales.org 108.162.207.146 26
108.162.207.199 algoclicks.com 108.162.207.196 30
108.162.207.234 prav.tv 108.162.207.236 29
108.162.207.240 videoyoum7.com 108.162.207.239 27
108.162.207.243 moheet.com 108.162.207.239 27
108.162.207.26 keep2share.cc 108.162.207.8 27
108.162.207.33 gobookee.org 108.162.207.44 28
108.162.207.37 challenge.co 108.162.207.44 28
108.162.207.49 j.gs 108.162.207.55 29
108.162.207.77 problogger.net 108.162.207.79 30
108.163.193.212 myfxbook.com 108.163.193.204 27
108.163.247.170 niksalehi.com 108.163.247.173 29
108.165.23.132 quanticalabs.com 108.165.23.135 30
108.166.105.222 triberr.com 108.166.105.213 28
108.166.173.91 goo.im 108.166.173.81 28
108.166.184.130 wordlinx.com 108.166.184.235 25
108.166.191.106 jeffbullas.com 108.166.191.110 29
108.166.24.96 brightcove.com 108.166.24.83 26
108.166.31.131 post-gazette.com 108.166.31.146 27
108.166.34.81 instantcheckmate.com 108.166.34.52 25
108.166.42.49 telerik.com 108.166.42.58 28
108.166.48.237 seochat.com 108.166.48.229 28
108.166.7.161 cwtv.com 108.166.7.172 28
108.166.83.148 reason.com 108.166.83.137 27
108.166.84.182 appbrain.com 108.166.84.185 28
108.166.89.146 hinkhoj.com 108.166.89.151 29
108.168.152.59 listal.com 108.168.152.108 25
108.168.153.3 globososo.com 108.168.153.72 25
108.168.157.121 zedge.net 108.168.157.116 28
108.168.157.185 naturalnews.com 108.168.157.116 24
108.168.157.82 clkmon.com 108.168.157.116 26
108.168.158.254 buyincoins.com 108.168.158.210 26
108.168.159.211 zamzar.com 108.168.159.194 27
108.168.159.212 zamzar.com 108.168.159.194 27
108.168.160.69 ad4game.com 108.168.159.250 18
108.168.175.138 viki.com 108.168.159.250 18
108.168.208.206 filehippo.com 108.168.208.200 29
108.168.209.242 disqus.com 108.168.209.246 29
108.168.209.244 disqus.com 108.168.209.246 30
108.168.215.182 amulyam.in 108.168.215.153 26
108.168.218.164 woopra.com 108.168.218.165 31
108.168.218.168 woopra.com 108.168.218.167 28
108.168.218.175 woopra.com 108.168.218.167 28
108.168.218.176 woopra.com 108.168.218.167 27
108.168.218.180 woopra.com 108.168.218.167 27
108.168.227.220 indeed.com 108.168.227.220 31
108.168.240.106 adpost.com 108.168.240.161 24
108.168.241.130 livechatinc.com 108.168.241.136 28
108.168.241.131 livechatinc.com 108.168.241.136 28
108.168.254.16 freewebsitetemplates.com 108.168.255.205 23
108.168.254.169 fitbit.com 108.168.255.205 23
108.168.254.173 visualwebsiteoptimizer.com 108.168.255.205 23
108.168.254.175 visualwebsiteoptimizer.com 108.168.255.205 23
108.168.254.43 searchenginejournal.com 108.168.255.205 23
108.168.254.68 teacherspayteachers.com 108.168.255.205 23
108.168.255.243 maxmind.com 108.168.255.225 27
108.170.6.114 thaqafnafsak.com 108.170.6.122 28
108.171.164.204 piriform.com 108.171.164.202 29
108.171.164.245 dafiti.com.mx 108.171.164.233 27
108.171.175.196 wistia.com 108.171.175.204 28
108.171.191.31 affilorama.com 108.171.191.14 27
108.171.216.42 m5zn.com 108.171.216.43 31
108.174.145.85 ittefaq.com.bd 108.174.145.16 25
108.174.147.133 banglamail24.com 108.174.147.123 24
108.174.147.163 sheershanews.com 108.174.147.123 24
108.174.147.48 bd-pratidin.com 108.174.147.39 27
108.174.147.93 natunbarta.com 108.174.147.121 26
108.174.150.23 kalerkantho.com 108.174.150.19 29
108.174.155.196 ithemes.com 108.174.153.211 22
108.174.158.133 samakal.net 108.174.158.152 27
108.175.146.148 arvixe.com 108.175.146.130 27
108.178.2.246 funnie.st 108.178.2.243 29
108.178.49.179 bigideamastermind.com 108.178.48.220 23
108.59.11.211 friv.com 108.59.11.197 27
108.59.12.176 lotoflaughters.com 108.59.12.145 26
108.59.12.177 roflzone.com 108.59.12.145 26
108.59.12.178 listcovery.com 108.59.12.145 26
108.59.14.170 funnie.st 108.59.14.131 26
108.59.196.150 experts-exchange.com 108.59.204.1 20
108.59.4.67 ubersuggest.org 108.59.4.74 28
108.59.8.132 friv.com 108.59.8.131 29
108.59.8.139 friv.com 108.59.8.131 28
108.59.8.163 friv.com 108.59.8.131 26
108.59.8.196 hostingflame.org 108.59.8.199 30
108.59.8.96 kn3.net 108.59.8.103 29
108.59.9.98 poringa.net 108.59.9.113 27
108.60.149.204 ampnetzwerk.de 108.60.149.249 26
108.60.204.171 iclarified.com 108.60.204.185 27
108.60.65.52 morazzia.com 108.60.65.49 29
108.61.15.244 styleblazer.com 108.61.15.228 27
108.61.32.235 necolebitchie.com 108.61.32.251 27
108.61.4.219 tharunee.lk 108.61.4.218 31
108.61.4.221 tharunaya.co.uk 108.61.4.218 29
108.61.49.220 lustplace.com 108.61.49.219 29
108.61.52.218 ce4arab.com 108.61.52.202 27
108.61.81.155 diythemes.com 108.61.81.137 27
108.61.8.194 wjunction.com 108.61.8.246 26
109.120.169.66 ktonanovenkogo.ru 109.120.168.189 23
109.123.219.80 webtrh.cz 109.123.219.77 27
109.163.226.148 torcache.net 109.163.226.147 29
109.163.227.117 stooorage.com 109.163.227.95 26
109.163.227.208 movie-blog.org 109.163.227.167 25
109.163.229.157 flashx.tv 109.163.229.152 29
109.163.230.151 publichd.se 109.163.230.147 29
109.163.230.216 miratuserie.com 109.163.230.249 26
109.163.230.36 ganool.com 109.163.230.35 29
109.163.231.139 mygully.com 109.163.231.145 27
109.163.231.41 sceper.ws 109.163.231.52 27
109.163.234.50 webseoanalytics.com 109.163.234.54 29
109.168.105.230 today.it 109.168.105.212 26
109.168.105.232 today.it 109.168.105.212 26
